Job_ID,Job_URL,Title,Type,City,Suburb,Industry,Hiring_Ent,Summary,Post_Date
34278082,https://www.seek.com.au/job/34278082,IT Data Management Analyst,Contract/Temp,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Accountancy Options,12 month fixed term contract available for experienced IT Data Management Analyst with Not-For-Profit based in the inner city,2017-08-30T02:02:08Z
34261989,https://www.seek.com.au/job/34261989,Technical Business Analyst -  Data,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Seisma Consulting,"Permanent Technical Business Analyst - Business Analyst with SQL, Data Analytics and Data Warehouse experience.",2017-08-28T07:00:17Z
34242788,https://www.seek.com.au/job/34242788,Test Data Management Analyst,Contract/Temp,ACT,,Information & Communication Technology,Inspired Corporation,Developing and Executing the Test Data Management Implementation Strategy for a Government Client.,2017-08-25T01:06:55Z
34206927,https://www.seek.com.au/job/34206927,Excel Specialist,Contract/Temp,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Charterhouse,This industry leader is looking for an Excel guru to join their team on a contract basis!,2017-08-21T06:46:59Z
34398036,https://www.seek.com.au/job/34398036,Business Insights Analyst - 12 month Contract to Permanent,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Consulting & Strategy,Perceptor,"Deliver Business Insights and High Impact Business Planning. Data Analytics, Customer Centric Marketing, Insights Driven Recommendations.",2017-09-13T07:00:47Z
34365313,https://www.seek.com.au/job/34365313,Wetstock Analyst,Full Time,Melbourne,Bayside & South Eastern Suburbs,Science & Technology,Environmental Monitoring Solutions Pty L td,"Environmental Monitoring Solutions is looking for Data Analysts.Suit engineering, science or accounting graduates.",2017-09-08T22:36:19Z
34318265,https://www.seek.com.au/job/34318265,Client File Analyst,Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Administration & Office Support,Hays Talent Solutions,Actively recruiting for immediately available Client File Analysts to assist the assessors on a large project of work,2017-09-04T06:49:14Z
34367214,https://www.seek.com.au/job/34367214,Lead iOS Developer ,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Opus Recruitment Solutions,Our client based in Sydney is looking for a team lead with domain experience in iOS app development. ,2017-09-10T11:30:10Z
34284279,https://www.seek.com.au/job/34284279,Senior Insights/Advanced Analytics Analyst,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Michael Page Technology,Seeking an enthusiastic Insights and Advanced Analytics Analyst that can be a proactive presence across the data and insights space.,2017-08-30T10:31:04Z
34413377,https://www.seek.com.au/job/34413377,Modelling Analyst | 3-6 month contract,Contract/Temp,Melbourne,CBD & Inner Suburbs,Accounting,Private Advertiser,We are seeking a Modelling Analyst with strong data capabilities to provide accounting and finance analysis to assist strategic business decisions,2017-09-15T01:42:23Z
34279656,https://www.seek.com.au/job/34279656,Data Analytics Manager,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Pacific Search Partners,"Outstanding Data Analytics/ BI leadership role within a high profile, fast growing dynamic Australian digital business",2017-08-30T04:00:08Z
34207335,https://www.seek.com.au/job/34207335,Master Data Consultant and Cataloguer,Contract/Temp,Brisbane,,Information & Communication Technology,Genesis IT&T P/L,"SAP MM
Master Data 
Cataloguing",2017-08-21T07:01:45Z
34206614,https://www.seek.com.au/job/34206614,Educational Data Specialist,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,"Data Scientist to analyse and report on complex datasets to improve teaching, learning and student engagement for a higher education institution.",2017-08-21T06:27:08Z
34384990,https://www.seek.com.au/job/34384990,Senior Data Scientist,Full Time,Melbourne,CBD & Inner Suburbs,Information & Communication Technology,Xpand Group Pty Ltd,This will be a global best practice team that will set the strategy moving forward and be the central point for their AI strategy moving forward.,2017-09-12T05:00:34Z
34333554,https://www.seek.com.au/job/34333554,Data Analyst/Junior Data Scientist,Full Time,Sydney,,Information & Communication Technology,Sterning Group,Have a strong Math/Stats background? This is your chance to get your foot into the Data Science & Analytics industry!,2017-09-05T23:28:58Z
34290946,https://www.seek.com.au/job/34290946,Junior Data Scientist / Statistician - Perth,Contract/Temp,Perth,"CBD, Inner & Western Suburbs",Information & Communication Technology,HCM Australia,"Use your statistics, data science (machine learning predictive modelling), R, SQL Server skills commercially in this junior Perth based role",2017-08-31T05:02:13Z
34230075,https://www.seek.com.au/job/34230075,Data Scientist,Full Time,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,BI & DW Australia,A leading IM Professional Services consultancy is offering you the career break you have been looking for - to be trained as a Data Scientist,2017-08-23T10:00:21Z
34367720,https://www.seek.com.au/job/34367720,"BIG DATA ENGINEERS & DATA SCIENTIS, Introduce & Champion Latest Tech, CONTRACT",Contract/Temp,Sydney,"CBD, Inner West & Eastern Suburbs",Information & Communication Technology,Northbridge IT Recruitment,"MULTIPLE ROLES: Big Data Engineers & Data Scientists, Research & Implement New & Emerging Big Data, Analytics & Software Eng Tech. Syd, L/T CONTRACT",2017-09-10T22:00:32Z
34316575,https://www.seek.com.au/job/34316575,Research Scientist - Wind waves ocean remote sensing,Full Time,Hobart,,Science & Technology,CSIRO,The successful candidate will be a physical oceanographer/physicist/engineer with skills in ocean satellite remote sensing,2017-09-04T05:07:56Z
